rank	country	q1	q2	q3	total
1	Australia	100	100	87.96	287.96
2	France	100	100	87.22	287.22
3	France	100	100	82.03	282.03
4	France	100	100	78.26	278.26
5	France	100	100	76.41	276.41
6	France	100	100	69.54	269.54
7	Australia	100	80	82.54	262.54
8	Australia	100	80	66.33	246.33
9	Australia	100	100	35.9	235.9
10	New Zealand	100	100	33.21	233.21
11	Australia	100	100	28.28	228.28
12	Australia	100	60	63.21	223.21
13	France	100	100	13.67	213.67
14	France	60	80	69.3	209.3
15	Australia	100	25	76.41	201.41
16	Australia	100	60	37.09	197.09
17	Belgium	100	40	56.73	196.73
18	Australia	100	60	35.81	195.81
19	France	60	60	74.47	194.47
20	Netherlands	100	60	33.29	193.29
21	Australia	100	80	0.95	180.95
22	Australia	100	0	76.41	176.41
23	Belgium	60	40	63.19	163.19
24	Australia	100	0	50.31	150.31
25	Australia	100	40	9.22	149.22
26	New Zealand	60	80	0	140
27	Australia	60	10	68.04	138.04
28	France	60	0	76.41	136.41
29	Australia	60	0	73.55	133.55
30	New Zealand	60	0	68.04	128.04
31	Australia	60	0	67.96	127.96
32	France	100	0	25.64	125.64
33	Australia	60	60	4.63	124.63
34	France	60	60	0.95	120.95
35	France	60	60	0	120
36	Belgium	60	25	32.57	117.57
37	Australia	100	15	0.95	115.95
38	Australia	100	0	0.87	100.87
39	France	60	0	40.33	100.33
40	Belgium	100	0	0	100
40	Australia	100	0	0	100
